POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
22,-74.77860000000003,-58.21510000000811,88.49220000000098,-6.246000000000011,0.0,-132.9937000000045,82.24620000000026,-50.747500000004266
23,-72.36180000000088,-47.23680000000195,80.76780000000005,-6.365399999999999,0.0,-119.59860000000646,74.40239999999936,-45.196199999999806
24,-77.55689999999991,-47.03869999999469,82.93440000000109,-6.216800000000004,0.0,-124.59559999999095,76.71760000000202,-47.87799999999439
25,-76.11910000000105,-51.64579999998895,90.83979999999917,-6.470700000000003,0.0,-127.76490000000274,84.36909999999907,-43.39579999999822
26,-73.61889999999991,-49.3476000000054,86.46490000000006,-6.4693000000000005,0.0,-122.96650000000167,79.99560000000051,-42.97090000000844
27,-77.30769999999953,-40.1725999999978,74.87460000000056,-6.444300000000011,0.0,-117.4802999999846,68.4302999999995,-49.049999999975995
28,-73.12019999999862,-43.38410000000499,72.33520000000095,-6.550999999999984,0.0,-116.50430000001089,65.78420000000091,-50.72010000002635
29,-78.28319999999903,-39.26690000000775,75.10579999999902,-6.292099999999997,0.0,-117.55010000001951,68.8136999999995,-48.73640000002729
30,-80.25209999999953,-38.6499000000037,79.49070000000125,-6.362299999999996,0.0,-118.9020000000105,73.12840000000047,-45.77360000001369
31,-77.06370000000132,-36.01189999999312,81.75110000000015,-6.4755999999999805,0.0,-113.07559999998534,75.27550000000147,-37.80010000000024
32,-71.92279999999869,-34.91450000001362,76.23699999999876,-6.583300000000005,0.0,-106.83730000000685,69.65369999999866,-37.18360000000635
33,-75.6472999999995,-39.04859999999036,81.52749999999997,-6.386200000000003,0.0,-114.69589999998257,75.1413000000002,-39.55460000000238
34,-76.45350000000127,-39.47689999999676,83.69899999999929,-6.537000000000015,0.0,-115.93040000000894,77.16199999999975,-38.76840000000192
35,-73.99779999999993,-46.07710000000998,78.9033999999995,-6.515999999999994,0.0,-120.07490000001354,72.3873999999989,-47.687500000018275
36,-72.1839000000002,-68.23040000000009,89.82369999999956,-6.407200000000002,0.0,-140.41429999999664,83.41650000000007,-56.99779999999657
37,-76.9420000000002,-41.57239999999118,71.69249999999995,-6.440800000000007,0.0,-118.51439999998956,65.25169999999952,-53.262699999997324
38,-76.92120000000072,-38.11819999998889,79.96250000000094,-6.488500000000003,0.0,-115.03939999998599,73.47400000000025,-41.56539999997486
39,-71.97479999999936,-48.145700000007,82.4476000000009,-6.465500000000008,0.0,-120.1205000000009,75.98210000000131,-44.13840000000687
40,-73.18750000000026,-42.204600000005826,80.54959999999826,-6.433399999999997,0.0,-115.39209999999517,74.11619999999805,-41.27589999998622
41,-71.9291000000007,-43.2077000000088,74.49169999999881,-6.486800000000014,0.0,-115.13679999999675,68.00489999999775,-47.13190000000992
42,-76.8070000000003,-42.38469999999603,85.37119999999979,-6.398100000000009,0.0,-119.19170000000906,78.97310000000097,-40.218600000002624
43,-79.34940000000006,-32.92450000000201,74.01300000000072,-6.308899999999996,0.0,-112.27390000000753,67.70409999999967,-44.56980000000604
44,-73.0498000000016,-37.73960000000454,79.68420000000027,-6.473300000000015,0.0,-110.78940000001523,73.21090000000109,-37.57850000002327
45,-75.15789999999956,-45.58470000000477,77.4772000000014,-6.43339999999999,0.0,-120.74260000000615,71.04380000000158,-49.698800000017286


